identifier	case	otest_types	semantics	profiles	status	normative_syntax	premise	conclusion	rl_corpus	dl_corpus	dl_probe
FS2RDF-propertychain-2-ar	fs2rdf-propertychain-2-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-same-individual-2-annotation-ar	fs2rdf-same-individual-2-annotation-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-same-individual-2-ar	fs2rdf-same-individual-2-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-same-individual-3-annotation-ar	fs2rdf-same-individual-3-annotation-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
functionality-clash	functionality-clash	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Inconsistent Byte Filler	inconsistent-byte-filler	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Inconsistent Data Complement with the Restrictions	inconsistent-data-complement-with-the-restrictions	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
inconsistent_datatypes	inconsistent-datatypes	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Inconsistent Disjoint Dataproperties	inconsistent-disjoint-dataproperties	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
inconsistent-integer-filler	inconsistent-integer-filler	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Inconsistent String Pattern with Disjoint Dataproperties	inconsistent-string-pattern-with-disjoint-dataproperties	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Proposed	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Minus Infinity is not in owl:real	minus-infinity-is-not-in-owl-real	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
New-Feature-AnnotationAnnotations-001	new-feature-annotationannotations-001	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
New-Feature-AsymmetricProperty-001	new-feature-asymmetricproperty-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	QL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
