identifier	case	otest_types	semantics	profiles	status	normative_syntax	premise	conclusion	rl_corpus	dl_corpus	dl_probe
WebOnt-description-logic-025	webont-description-logic-025	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-026	webont-description-logic-026	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-027	webont-description-logic-027	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-028	webont-description-logic-028	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-029	webont-description-logic-029	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-030	webont-description-logic-030	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-031	webont-description-logic-031	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-032	webont-description-logic-032	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-033	webont-description-logic-033	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-034	webont-description-logic-034	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-035	webont-description-logic-035	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-description-logic-040	webont-description-logic-040	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
WebOnt-description-logic-101	webont-description-logic-101	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-102	webont-description-logic-102	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-103	webont-description-logic-103	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-104	webont-description-logic-104	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-105	webont-description-logic-105	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-106	webont-description-logic-106	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-107	webont-description-logic-107	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-108	webont-description-logic-108	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-109	webont-description-logic-109	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-110	webont-description-logic-110	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-111	webont-description-logic-111	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-201	webont-description-logic-201	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-description-logic-202	webont-description-logic-202	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-description-logic-203	webont-description-logic-203	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-description-logic-204	webont-description-logic-204	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-description-logic-205	webont-description-logic-205	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-description-logic-206	webont-description-logic-206	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-description-logic-207	webont-description-logic-207	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-description-logic-208	webont-description-logic-208	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-description-logic-209	webont-description-logic-209	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	non-conclusion	graded-negative	not-vendored	withholds-reasoner
WebOnt-description-logic-501	webont-description-logic-501	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-502	webont-description-logic-502	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-503	webont-description-logic-503	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-504	webont-description-logic-504	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-601	webont-description-logic-601	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-602	webont-description-logic-602	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-603	webont-description-logic-603	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-604	webont-description-logic-604	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-605	webont-description-logic-605	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-606	webont-description-logic-606	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
WebOnt-description-logic-608	webont-description-logic-608	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-609	webont-description-logic-609	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-610	webont-description-logic-610	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-611	webont-description-logic-611	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-612	webont-description-logic-612	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-613	webont-description-logic-613	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-614	webont-description-logic-614	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-615	webont-description-logic-615	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-616	webont-description-logic-616	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-617	webont-description-logic-617	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-623	webont-description-logic-623	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-624	webont-description-logic-624	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-625	webont-description-logic-625	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-626	webont-description-logic-626	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-627	webont-description-logic-627	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-628	webont-description-logic-628	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-629	webont-description-logic-629	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-630	webont-description-logic-630	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-631	webont-description-logic-631	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-632	webont-description-logic-632	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-633	webont-description-logic-633	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-634	webont-description-logic-634	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-641	webont-description-logic-641	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-642	webont-description-logic-642	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-643	webont-description-logic-643	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-644	webont-description-logic-644	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-646	webont-description-logic-646	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-650	webont-description-logic-650	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-661	webont-description-logic-661	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-description-logic-662	webont-description-logic-662	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-description-logic-663	webont-description-logic-663	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-description-logic-664	webont-description-logic-664	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-description-logic-665	webont-description-logic-665	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-description-logic-667	webont-description-logic-667	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-description-logic-901	webont-description-logic-901	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-description-logic-902	webont-description-logic-902	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-description-logic-903	webont-description-logic-903	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-description-logic-904	webont-description-logic-904	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-description-logic-905	webont-description-logic-905	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
WebOnt-description-logic-906	webont-description-logic-906	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
WebOnt-description-logic-907	webont-description-logic-907	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
WebOnt-description-logic-908	webont-description-logic-908	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-909	webont-description-logic-909	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-910	webont-description-logic-910	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Extracredit	RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
WebOnt-differentFrom-001	webont-differentfrom-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	conclusion	graded-positive	graded	graded
WebOnt-differentFrom-002	webont-differentfrom-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-disjointWith-001	webont-disjointwith-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-disjointWith-002	webont-disjointwith-002	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-disjointWith-003	webont-disjointwith-003	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-disjointWith-004	webont-disjointwith-004	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-disjointWith-005	webont-disjointwith-005	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-disjointWith-006	webont-disjointwith-006	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-disjointWith-007	webont-disjointwith-007	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-disjointWith-008	webont-disjointwith-008	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-disjointWith-009	webont-disjointwith-009	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-disjointWith-010	webont-disjointwith-010	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-distinctMembers-001	webont-distinctmembers-001	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-equivalentClass-001	webont-equivalentclass-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-equivalentClass-002	webont-equivalentclass-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	conclusion	graded-positive	graded	graded
WebOnt-equivalentClass-003	webont-equivalentclass-003	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	conclusion	graded-positive	graded	graded
WebOnt-equivalentClass-004	webont-equivalentclass-004	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-equivalentClass-005	webont-equivalentclass-005	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-equivalentClass-006	webont-equivalentclass-006	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-equivalentClass-007	webont-equivalentclass-007	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-equivalentClass-008	webont-equivalentclass-008	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	RDF-BASED	EL;QL;RL	Proposed	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-equivalentClass-008-Direct	webont-equivalentclass-008-direct	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT	EL;QL;RL	Approved	RDFXML	yes	conclusion	direct-semantics-only	graded	graded
WebOnt-equivalentClass-009	webont-equivalentclass-009	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-equivalentProperty-001	webont-equivalentproperty-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-equivalentProperty-002	webont-equivalentproperty-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	conclusion	graded-positive	graded	graded
WebOnt-equivalentProperty-003	webont-equivalentproperty-003	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	conclusion	graded-positive	graded	graded
WebOnt-equivalentProperty-004	webont-equivalentproperty-004	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-equivalentProperty-005	webont-equivalentproperty-005	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-equivalentProperty-006	webont-equivalentproperty-006	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-extra-credit-002	webont-extra-credit-002	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-extra-credit-003	webont-extra-credit-003	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-extra-credit-004	webont-extra-credit-004	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	withholds-reasoner
WebOnt-FunctionalProperty-001	webont-functionalproperty-001	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-FunctionalProperty-002	webont-functionalproperty-002	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-FunctionalProperty-003	webont-functionalproperty-003	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-FunctionalProperty-004	webont-functionalproperty-004	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-FunctionalProperty-005	webont-functionalproperty-005	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-I4.5-001	webont-i4-5-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-I4.5-002	webont-i4-5-002	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-I4.6-003	webont-i4-6-003	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	RDF-BASED	RL	Proposed	RDFXML	yes	conclusion	graded-positive	graded	graded
WebOnt-I4.6-004	webont-i4-6-004	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-I4.6-005	webont-i4-6-005	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	RDF-BASED	EL;QL;RL	Proposed	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-I4.6-005-Direct	webont-i4-6-005-direct	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT	EL;QL;RL	Approved	RDFXML	yes	conclusion	direct-semantics-only	graded	graded
WebOnt-I5.1-001	webont-i5-1-001	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-I5.1-010	webont-i5-1-010	ConsistencyTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-I5.2-001	webont-i5-2-001	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-I5.2-002	webont-i5-2-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-I5.2-003	webont-i5-2-003	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
